Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2010,141,989417,14.25,13.0422874
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2011,152,997821,15.23,14.70978618
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2012,153,1005196,15.22,14.8123226
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2013,147,1014314,14.49,13.98563271
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2014,149,1022867,14.57,13.70945317
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2015,174,1032073,16.86,16.08466597
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,2016,162,1042520,15.54,15.64336551
Both Sexes,All Races,Montana,Both,All Ages,2010,2016,Suicide Firearm,,1078,7104208,15.17,.
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2010,106,1826341,5.8,5.535049659
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2011,111,1842283,6.03,6.083959088
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2012,115,1855725,6.2,6.157263183
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2013,111,1868559,5.94,5.901059825
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2014,133,1881145,7.07,6.975439853
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2015,114,1893765,6.02,5.916198229
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,2016,116,1907116,6.08,6.074735687
Both Sexes,All Races,Nebraska,Both,All Ages,2010,2016,Suicide Firearm,,806,13074934,6.16,.
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2010,289,2700552,10.7,10.5143729
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2011,272,2718379,10.01,9.678456695
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2012,274,2752565,9.95,9.578375864
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2013,292,2786464,10.48,10.03805331
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2014,309,2833013,10.91,10.40397036
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2015,293,2883758,10.16,9.505743458
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,2016,334,2940058,11.36,10.89652591
Both Sexes,All Races,Nevada,Both,All Ages,2010,2016,Suicide Firearm,,2063,19614789,10.52,.
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2010,102,1316469,7.75,7.038669179
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2011,75,1318473,5.69,5.032567203
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2012,98,1321182,7.42,6.649055442
Both Sexes,All Races,New Hampshire,Both,All Ages,2010,2016,Suicide Firearm,2013,81,1322687,6.12,5.51244771
